2026/04/25 18:50:05 [BNBUSDT] OBI: 0.3914280994675917 | Updated: 1777114204592 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [SOLUSDT] OBI: 0.1185961628482148 | Updated: 1777114204553 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [XLMUSDT] OBI: 0.19960390013300566 | Updated: 1777114204514 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [GRTUSDT] OBI: 0.2631256724191616 | Updated: 1777114204620 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [SANDUSDT] OBI: -0.3597844381091151 | Updated: 1777114204610 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [XMRUSDT] OBI: -0.08250615980288623 | Updated: 1777114204219 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [ETCUSDT] OBI: -0.19223441296040442 | Updated: 1777114204323 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [QNTUSDT] OBI: 0.2914438502673797 | Updated: 1777114204579 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [ATOMUSDT] OBI: 0.16516466580955205 | Updated: 1777114204514 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [NEARUSDT] OBI: 0.09478345554568848 | Updated: 1777114204461 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [TRXUSDT] OBI: 0.10931622719063815 | Updated: 1777114204619 | ProcessTs: 1777114205013
2026/04/25 18:50:05 [XRPUSDT] OBI: 0.21889658859340236 | Updated: 1777114204577 | ProcessTs: 1777114205013
